question,expected_tool,selected_tools,tool_match,resolved_question,final_answer
Which items are below reorder threshold?,inventory,inventory,YES,Which items are below reorder threshold?,"INVENTORY RESULT:
    sku                        name  quantity  reorder_threshold location   supplier
SKU-102         Mechanical Keyboard         8                 10  Rack-A2 KeyMasters
SKU-104                Laptop Stand         5                  8  Rack-B1   ErgoDesk
SKU-105 Noise-Cancelling Headphones         4                  6  Rack-B2   SoundMax
SKU-107                Portable SSD         6                 10  Rack-C1  DataStore
SKU-108             Barcode Scanner         3            "
What items are in low stock?,inventory,inventory,YES,What items are in low stock?,"INVENTORY RESULT:
    sku                        name  quantity  reorder_threshold location   supplier
SKU-102         Mechanical Keyboard         8                 10  Rack-A2 KeyMasters
SKU-104                Laptop Stand         5                  8  Rack-B1   ErgoDesk
SKU-105 Noise-Cancelling Headphones         4                  6  Rack-B2   SoundMax
SKU-107                Portable SSD         6                 10  Rack-C1  DataStore
SKU-108             Barcode Scanner         3            "
Which products need restocking?,inventory,inventory,YES,Which products need restocking?,"INVENTORY RESULT:
    sku                        name  quantity  reorder_threshold location   supplier
SKU-102         Mechanical Keyboard         8                 10  Rack-A2 KeyMasters
SKU-104                Laptop Stand         5                  8  Rack-B1   ErgoDesk
SKU-105 Noise-Cancelling Headphones         4                  6  Rack-B2   SoundMax
SKU-107                Portable SSD         6                 10  Rack-C1  DataStore
SKU-108             Barcode Scanner         3            "
Where is Wireless Mouse stored?,inventory,inventory,YES,Where is Wireless Mouse stored?,"INVENTORY RESULT:
    sku           name location  quantity   supplier
SKU-101 Wireless Mouse  Rack-A1        12 TechSupply"
Where is Thermal Printer stored?,inventory,inventory,YES,Where is Thermal Printer stored?,"INVENTORY RESULT:
    sku            name location  quantity supplier
SKU-109 Thermal Printer  Rack-C3         2  PrintCo"
Who supplies the Thermal Printer?,inventory,inventory,YES,Who supplies the Thermal Printer?,"INVENTORY RESULT:
    sku                        name   supplier location  quantity
SKU-101              Wireless Mouse TechSupply  Rack-A1        12
SKU-102         Mechanical Keyboard KeyMasters  Rack-A2         8
SKU-103                   USB-C Hub ConnectPro  Rack-A3        15
SKU-104                Laptop Stand   ErgoDesk  Rack-B1         5
SKU-105 Noise-Cancelling Headphones   SoundMax  Rack-B2         4
SKU-106                      Webcam VisionTech  Rack-B3        10
SKU-107             "
Show supplier information for warehouse products.,inventory,inventory,YES,Show supplier information for warehouse products.,"INVENTORY RESULT:
    sku                        name   supplier location  quantity
SKU-101              Wireless Mouse TechSupply  Rack-A1        12
SKU-102         Mechanical Keyboard KeyMasters  Rack-A2         8
SKU-103                   USB-C Hub ConnectPro  Rack-A3        15
SKU-104                Laptop Stand   ErgoDesk  Rack-B1         5
SKU-105 Noise-Cancelling Headphones   SoundMax  Rack-B2         4
SKU-106                      Webcam VisionTech  Rack-B3        10
SKU-107             "
Which shipments are delayed?,shipment,shipment,YES,Which shipments are delayed?,"SHIPMENT RESULT:
shipment_id   supplier  status expected_date                                          notes
   SHIP-001 TechSupply Delayed    2026-04-10 Wireless Mouse shipment delayed due to weather
   SHIP-003   SoundMax Delayed    2026-04-11        Headphones shipment delayed by supplier"
Show delayed shipments.,shipment,shipment,YES,Show delayed shipments.,"SHIPMENT RESULT:
shipment_id   supplier  status expected_date                                          notes
   SHIP-001 TechSupply Delayed    2026-04-10 Wireless Mouse shipment delayed due to weather
   SHIP-003   SoundMax Delayed    2026-04-11        Headphones shipment delayed by supplier"
Are any supplier deliveries delayed?,shipment,inventory|shipment,YES,Are any supplier deliveries delayed?,"INVENTORY RESULT:
    sku                        name   supplier location  quantity
SKU-101              Wireless Mouse TechSupply  Rack-A1        12
SKU-102         Mechanical Keyboard KeyMasters  Rack-A2         8
SKU-103                   USB-C Hub ConnectPro  Rack-A3        15
SKU-104                Laptop Stand   ErgoDesk  Rack-B1         5
SKU-105 Noise-Cancelling Headphones   SoundMax  Rack-B2         4
SKU-106                      Webcam VisionTech  Rack-B3        10
SKU-107             "
